Ticker,Name,Co Des,WACC Economic Value Added,WACC EVA Spd,Mkt Cap,# Num
AAPL UW,APPLE INC,Apple Inc. designs manufactures and markets smartphones personal computers tablets wearables and accessories and sells a variety of related accessories. The Company also offers payment digital content cloud and advertising services. Apple Inc.'s customers are primarily in consumer small & mid-sized business education enterprise and government markets worldwide.,80829.15131,48.15931607,2.64306E+12,1
MSFT UW,MICROSOFT CORP,Microsoft Corporation operates as a software company. The Company offers applications extra cloud storage and advanced security solutions. Microsoft serves customers worldwide.,36013.16223,13.5817235,2.13712E+12,2
GOOGL UW,ALPHABET INC-CL A,Alphabet Inc. operates as a holding company. The Company through its subsidiaries provides web-based search advertisements maps software applications mobile operating systems consumer content enterprise solutions commerce and hardware products.,26391.74274,9.339333637,1.3489E+12,3
AMZN UW,AMAZON.COM INC,Amazon.com Inc. is an online retailer that offers a wide range of products. The Company products include books music computers electronics and numerous other products. Amazon offers personalized shopping services Web-based credit card payment and direct shipping to customers. Amazon also operates a cloud platform offering services globally.,-8289.172578,-2.674547823,1.06377E+12,4
BRK/B UN,BERKSHIRE HATHAWAY INC-CL B,Berkshire Hathaway Inc. is a holding company owning subsidiaries in a variety of business sectors. The Company's principal operations are insurance business conducted nationwide on a primary basis and worldwide on a reinsurance basis. Berkshire's other operations include a railway company a specialty chemical company and an international association of diversified businesses.,-85871.04761,-12.52986478,7.10452E+11,5
NVDA UW,NVIDIA CORP,NVIDIA Corporation designs develops and markets three dimensional (3D) graphics processors and related software. The Company offers products that provides interactive 3D graphics to the mainstream personal computer market.,-1716.50632,-5.539440152,6.81769E+11,6
TSLA UW,TESLA INC,Tesla Inc. operates as a multinational automotive and clean energy company. The Company designs and manufactures electric vehicles battery energy storage from home to grid-scale solar panels and solar roof tiles and related products and services. Tesla owns its sales and service network and sells electric power train components to other automobile manufacturers.,1144.742354,1.357326892,5.22931E+11,7
V UN,VISA INC-CLASS A SHARES,Visa Inc. operates a retail electronic payments network and manages global financial services. The Company also offers global commerce through the transfer of value and information among financial institutions merchants consumers businesses and government entities.,10076.25823,17.5510934,4.90676E+11,8
XOM UN,EXXON MOBIL CORP,Exxon Mobil Corporation operates petroleum and petro chemicals businesses. The Company provides exploration and production of oil and gas electric power generation coal and minerals operations. Exxon Mobil also manufactures and markets fuels lubricants and chemicals. Exxon Mobil serves customers worldwide.,29108.82546,9.985463876,4.62029E+11,9
UNH UN,UNITEDHEALTH GROUP INC,UnitedHealth Group Incorporated owns and manages organized health systems. The Company provides employers products and resources to plan and administer employee benefit programs. UnitedHealth serves customers worldwide.,11234.20255,6.814182846,4.54464E+11,10
JNJ UN,JOHNSON & JOHNSON,Johnson & Johnson manufactures health care products and provides related services for the consumer pharmaceutical and medical devices and diagnostics markets. The Company sells products such as skin and hair care products acetaminophen products pharmaceuticals diagnostic equipment and surgical equipment in countries located around the world.,11501.25077,9.409669445,4.21686E+11,11
